,kode,Target
1,BBCA,0.39010071416736053
2,BBRI,0.2618998876517295
3,BMRI,0.1953444669386712
4,BBNI,0.1408540858376936
5,BRIS,0.09000062602552593
6,SMMA,0.39036646632750843
7,MEGA,0.2610127051937541
8,BNGA,0.0788326892065154
9,TOWR,0.3602130091346227
10,ARTO,0
11,BNLI,0.13539560620185978
12,NISP,0.08411572528303622
13,CASA,0
14,PNBN,0.08846254804498384
15,BDMN,0.13108033299781416
16,MKPI,0.250890484842459
17,BTPN,0.13111741703289642
18,BINA,0
19,CTRA,0.10284567102107396
20,SRTG,0.0694384931540555
21,BBHI,0
22,BSDE,0.17077050968883417
23,PWON,0.144989432041012
24,BNII,0.08097731151477724
25,BBTN,0.1920916738825177
26,BSIM,0
27,BBSI,0
28,MPRO,0
29,BFIN,0.10942146317224762
30,BANK,0
31,ADMF,0.19878829046002244
32,LIFE,0.15865088020379445
33,APIC,0
34,BBKP,0
35,INPP,0.21208621344759962
36,BJBR,0.147651330657612
37,BMAS,0.12053754086065702
38,PLIN,0.1514455661438542
39,RISE,0
40,JRPT,0.10098830377569612
41,BTPS,0.4775572642987445
42,SMRA,0.18848433393406644
43,BJTM,0.1283415012324746
44,MAYA,0.42808333760292855
45,MFIN,0.12663566855510316
46,DUTI,0.15011435789054514
47,DMAS,0.28473955466807027
48,BBMD,0.2668264985101726
49,SDRA,0.10937603054866456
50,AGRO,0.12519744082270032
51,BKSL,0
52,LPKR,0.18655925439117815
53,KPIG,0
54,NOBU,0
55,GMTD,0.21173634343827794
56,MASB,0
57,AMAR,0.020636271720568845
58,RDTX,0.12816423455734693
59,TUGU,0.0863310164580519
60,YULE,0
61,BBYB,0.19216429186314166
62,NIRO,0
63,MTLA,0.10261093693820372
64,ASRI,0.07369383530206641
65,APLN,0.024884961912056802
66,BACA,0
67,MCOR,0
68,SFAN,0
69,KIJA,0.27109614370862384
70,SKRN,0.1461594404635262
71,AGRS,0
72,BABP,0
73,BKSW,0
74,BCAP,0
75,MMLP,0
76,AMOR,0.097
77,BNBA,0.04788376957955134
78,VICO,0
79,CFIN,0.022881720920121335
80,PNBS,0
81,TRIM,0
82,DILD,0.0390744876109949
83,IMJS,0.07530743938246182
84,LPCK,0.02429465193774134
85,BCIC,0
86,BGTG,0
87,DNAR,0
88,AMAG,0.08234176430366043
89,BSBK,0
90,SMIL,0
91,OMRE,0
92,INPC,0
93,TIFA,0.05602647631190556
94,WOMF,0.05879271497858063
95,BEKS,0
96,BVIC,0
97,PANS,0.08521131699215367
98,ADCP,0.0050691597746613925
99,POLL,0
100,GWSA,0
101,FMII,0
102,LPGI,0.1003553193222632
103,BBLD,0.04634017997309579
104,BPFI,0.2574703247481099
105,RELI,0.058002462777445044
106,JIHD,0
107,SMDM,0
108,GSMF,0
109,PPRO,0.12482130317838402
110,HDFA,0
111,MDLN,0.05828381155877944
112,MREI,0.14329189647488944
113,TRIN,0
114,VRNA,0
115,AHAP,0.1532891484873573
116,ASRM,0.12867604203236413
117,INDO,0
118,ELTY,0
119,GOLD,0
120,SAGE,0
121,SWID,0
122,BKDP,0
123,URBN,0
124,AMAN,0.06658089557290013
125,FUJI,0
126,BPTR,0
127,MTWI,0
128,EMDE,0.06954256811686581
129,TRUS,0
130,HOMI,0
131,ASBI,0.051415395369077924
132,TRJA,0.01638735537364892
133,RODA,0
134,CITY,0
135,PEGE,0.10136833331375598
136,STAR,0
137,VAST,0
138,VINS,0.09320841462645703
139,SATU,0
140,ESTA,0
141,PAMG,0
142,PURI,0.010080186983099603
143,ASDM,0.07288621727050568
144,NICK,0
145,CBPE,0
146,ASJT,0.07205405479411764
147,LPPS,0
148,KREN,0
149,ASPI,0
150,JGLE,0
151,NASA,0
152,NZIA,0.6244399364710189
153,ASMI,0
154,PUDP,0.14177461635027025
155,BIPP,0
156,KOTA,0
157,PADI,0
158,MINA,0
159,TRUE,0
160,RELF,0
161,IPAC,0
162,AKSI,0
163,KBAG,0.08937785815512828
164,BCIP,0
165,CSIS,0
166,ATAP,0.08405528410573147
167,JMAS,0
168,TARA,0
169,REAL,0
170,DADA,0
171,POLA,0
172,BIKA,0
173,MGNA,0
174,WIDI,0
175,MTSM,0
176,HDIT,0
177,IBFN,0
